MonumentID,CIL,"Tončinić",Betz,ILJug,AE,EDCS,EDH,OtherRef
1,"03, 02908",92,"1; 84",,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-28400159,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD032704,"ILS 2280; Jagenteufel 1958, no.3.3; Banko, Sticotti 1895, 98ff"
2,"03, 02733",73,72,,"1977, 0613",http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-28300058,,"Galsterer 1971; Demicheli, Tončinić 2012"
3,"03, 03198a; 03, 03200; 03, 10156; 03, 10158; 17-04, 00130",91,,"1, 0262","1961, 0304; 2006, +1004",http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-54900234,,"Sanader Tončinić 2013; ILS 2478; ILS 5829"
4,,66,,,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-51400004,,"Milošević 1998, 151; Demicheli 2011, 71-72 no. 1; Demicheli, Tončinić 2008"
5,,1,,,"1999, 1230",http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-14800171,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD039866,"Sanader 2000, figs 4 and 6; Sanader, Milićević Bradač, Demicheli 2007; Sanader, Milićević Bradač, Demicheli 2013"
6,"03, 02709",2,21,,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-28300035,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058869,"Hoffmann 1905, no.42; Wilkes 1969, 463; Fadić 1997, no.1; ILS 2252"
7,"03, 03162a",3,18,,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-28600125,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062298,"Hofmann 1905, no. 37"
8,,4,44,"3, 2091",,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-10101054,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD034435,"Wilkes 1969, 463; Miletić 1989, 102-106; Miletić 1990, 169; BD-VAHD (37) 1914, no. 4657 A"
9,"03, 08723",5,22,,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-28700941,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062488,"BD-VAHD (11) 1888, no. 94; Miletić 1991, 27-34; Miletić 1989, 66-71"
10,,6,,,"1995, 1231",http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-03300743,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD040156,"Fadić 1995, 163-187; Šegvić 1996, no. 31; Fadić 1997, no.7"
11,"03, 02913",7,46,,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-28400164,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD060144,"Nedved 1992, no.7; Kurilić 1999, 1160"
12,"03, 09733",8,23,,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-30100403,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058840,"BD-VAHD (1) 1878, no.24; Wilkes 1969, 463; Sanader, Milićević Bradač, Demicheli 2007; Sanader, Milićević Bradač, Demicheli 2013; Rendić-Miočević 1987, 226; Fadić 1997, no. 11"
13,"03, 08735",9,14,,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-28700950,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD062531,"BD-VAHD (5) 1882, no.11; Wilkes 1969, 467; BD-VAHD (8), no. 311"
14,"03, 02014",10,48,,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-27601578,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD054710,"Hoffmann 1905, no.46; Wilkes 1969, 460; Marsić 2010, 67-78"
15,"03, 08487",11,052-53,,,http://db.edcs.eu/epigr/edcs_id.php?s_sprache=en&p_edcs_id=EDCS-31900305,https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058380,"Wilkes 1969, 463; Hoernes 1880, 37-38; BD-VAHD (8), no. 147; Patsch 1908, 111; Bojanovski 1988, no. 19; Bojanovski 1985, 90; Dodig 2005a, no. 1; Dodig 2006, no. 5"
